id,name,phone,score,evidence
179,Cochran Middle School,(323) 730-4300,19,serp | knowledge_graph.phone | organic:cochrancougars.org | organic:cochrancougars.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:yelp.com | organic:cochrancougars.org
256,Curtiss Middle School,(310) 661-4500,21,serp | knowledge_graph.phone | organic:curtissms.lausd.org | organic:curtissms.lausd.org | organic:curtissms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:curtissms.lausd.org | organic:teacherserver.com | organic:curtissms.lausd.org
257,Dana Middle School,(310) 241-1100,21,serp | knowledge_graph.phone | organic:danams.lausd.org | organic:cde.ca.gov | organic:danams.lausd.org | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:tfdsupplies.com | organic:cde.ca.gov | organic:danams.lausd.org
212,Dorsey Senior High School,(323) 298-8400,21,serp | knowledge_graph.phone | organic:dorseyhs.lausd.org | organic:cde.ca.gov | organic:dorseyhs.lausd.org | organic:schooldirectory.lausd.net | organic:cde.ca.gov | organic:sarconline.org | organic:raise.me | organic:neighborhoodscout.com
205,Dr. Julian Nava Learning Academy,(323) 846-2200,23,serp | knowledge_graph.phone | organic:drjnla.net | organic:cde.ca.gov | organic:drjnla.net | organic:schooldirectory.lausd.net | organic:drjnla.net | organic:explore.lausd.org | organic:drjnla.net | organic:ed-data.org | organic:yelp.com
258,Dymally High School,(323) 565-4600,23,serp | knowledge_graph.phone | organic:dymallyhs.lausd.org | organic:dymallyhs.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:dymallyhs.lausd.org | organic:dymallyhs.lausd.org | organic:yelp.com | organic:ed-data.org | organic:cde.ca.gov
170,Eagle Rock High School,(323) 340-3500,23,serp | knowledge_graph.phone | organic:eaglerockhs.lausd.org | organic:eaglerockhs.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:yelp.com | organic:eaglerockhs.lausd.org | organic:ed-data.org | organic:eaglerockhs.lausd.org | organic:cde.ca.gov
209,Edison Middle School,(323) 826-2500,21,serp | knowledge_graph.phone | organic:thomasedisonms.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:nces.ed.gov | organic:explore.lausd.org | organic:moonpreneur.com | organic:cde.ca.gov
220,Ellen Ochoa Learning Center,(323) 869-1300,25,serp | knowledge_graph.phone | organic:ellenochoa.lausd.org | organic:cde.ca.gov | organic:ellenochoa.lausd.org | organic:schooldirectory.lausd.net | organic:ellenochoa.lausd.org | organic:ellenochoa.lausd.org | organic:yelp.com | organic:ed-data.org | organic:facebook.com | organic:tfdsupplies.com
180,Fairfax Senior High School,(323) 370-1200,21,serp | knowledge_graph.phone | organic:fairfaxhs.lausd.org | organic:fairfaxhs.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:cde.ca.gov | organic:yelp.com | organic:fairfaxhs.lausd.org
259,Fremont Senior High School,(323) 565-1200,23,serp | knowledge_graph.phone | organic:fremonths.org | organic:cde.ca.gov | organic:fremonths.org | organic:schooldirectory.lausd.net | organic:tfdsupplies.com | organic:yelp.com | organic:cde.ca.gov | organic:explore.lausd.org | organic:ed-data.org
223,Gage Middle School,(323) 826-1500,17,serp | knowledge_graph.phone | organic:gagems.lausd.org | organic:gagems.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:cde.ca.gov | organic:gagems.lausd.org
224,Garfield Senior High School,(323) 981-5500,17,serp | knowledge_graph.phone | organic:garfieldhs.org | organic:garfieldhs.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:cde.ca.gov | organic:garfieldhs.org
210,Gompers Middle School,(323) 241-4000,21,serp | knowledge_graph.phone | organic:gompersms.lausd.org | organic:cde.ca.gov | organic:gompersms.lausd.org | organic:schooldirectory.lausd.net | organic:yelp.com | organic:gompersms.lausd.org | organic:ed-data.org | organic:gompersms.lausd.org
213,Harte Preparatory Middle School,(323) 242-5400,21,serp | knowledge_graph.phone | organic:harteprepms.lausd.org | organic:cde.ca.gov | organic:harteprepms.lausd.org | organic:nces.ed.gov | organic:schooldirectory.lausd.net | organic:tfdsupplies.com | organic:ed-data.org | organic:cde.ca.gov
144,Helping Hands Caring Hearts Ministry,(626) 426-3356,14,serp | local_results.phone | local_results.phone | organic:findhelp.org | organic:1degree.org
175,Hollenbeck Middle School,(323) 780-3000,21,serp | knowledge_graph.phone | organic:hollenbeckms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:hollenbeckms.lausd.org | organic:moonpreneur.com | organic:mapquest.com | organic:cde.ca.gov
171,Liechty Middle School,(213) 989-1200,21,serp | knowledge_graph.phone | organic:liechtyms.lausd.org | organic:liechtyms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:liechtyms.lausd.org | organic:ed-data.org | organic:tfdsupplies.com | organic:liechtyms.lausd.org
176,Lincoln Senior High School,(323) 441-4600,19,serp | knowledge_graph.phone | organic:lincolnhs.org | organic:cde.ca.gov | organic:lincolnhs.org | organic:schooldirectory.lausd.net | organic:yelp.com | organic:lincolnhs.org | organic:ed-data.org
206,Los Angeles Academy Middle School,(323) 238-1800,19,serp | knowledge_graph.phone | organic:losangelesacad.lausd.org | organic:cde.ca.gov | organic:yelp.com | organic:schooldirectory.lausd.net | organic:losangelesacad.lausd.org | organic:moonpreneur.com | organic:ed-data.org
207,Manual Arts High School,(323) 846-7300,21,serp | knowledge_graph.phone | organic:manualartshs.org | organic:manualartshs.org | organic:schooldirectory.lausd.net | organic:yelp.com | organic:manualartshs.org | organic:manualartshs.org | organic:manualartshs.org | organic:manualartshs.org
194,Marina Del Rey Middle School,(310) 578-2700,23,serp | knowledge_graph.phone | organic:marinareyms.lausd.org | organic:marinareyms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:m.yelp.com | organic:ed-data.org | organic:cde.ca.gov | organic:moonpreneur.com | organic:laxcoastaledfoundation.com
211,Markham Middle School,(323) 568-5500,23,serp | knowledge_graph.phone | organic:markhamms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:yelp.com | organic:ed-data.org | organic:moonpreneur.com | organic:markhamms.lausd.org | organic:cde.ca.gov | organic:themls.com
225,Marquez Senior High School,(323) 584-3800,19,serp | knowledge_graph.phone | organic:marquezhs.net | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:marquezhs.net | organic:ed-data.org | organic:yelp.com | organic:cde.ca.gov
221,Maywood Center for Enriched Studies (MaCES),(323) 210-1412,23,serp | knowledge_graph.phone | organic:macesmagnet.lausd.org | organic:cde.ca.gov | organic:macesmagnet.lausd.org | organic:yelp.com | organic:schooldirectory.lausd.net | organic:mapquest.com | organic:cde.ca.gov | organic:tfdsupplies.com | organic:macesmagnet.lausd.org
214,Muir Middle School,(323) 565-2200,21,serp | knowledge_graph.phone | organic:muirms.lausd.org | organic:cde.ca.gov | organic:muirms.lausd.org | organic:schooldirectory.lausd.net | organic:nces.ed.gov | organic:moonpreneur.com | organic:muirms.lausd.org | organic:cde.ca.gov
134,Mulholland Middle School,(818) 609-2500,21,serp | knowledge_graph.phone | organic:mulhollandms.lausd.org | organic:mulhollandms.lausd.org | organic:cde.ca.gov | organic:ed-data.org | organic:schooldirectory.lausd.net | organic:mulhollandms.lausd.org | organic:yelp.com | organic:cde.ca.gov
260,Narbonne Senior High School,(310) 257-7100,17,serp | knowledge_graph.phone | organic:narbonnehs.lausd.org | organic:narbonnehs.lausd.org | organic:schooldirectory.lausd.net | organic:cde.ca.gov | organic:narbonnehs.lausd.org | organic:zoominfo.com
106,Palmdale 7th Day Adventist Church,(661) 947-8496,19,serp | knowledge_graph.phone | organic:palmdaleca.adventistchurch.org | organic:locator.lacounty.gov | organic:facebook.com | organic:palmdaleca.adventistchurch.org | organic:adventistdirectory.org | organic:1degree.org | organic:avaseagles.com
107,Palmdale Vineyard Church,(661) 947-2222,17,serp | knowledge_graph.phone | organic:pvlife.org | organic:pvlife.org | organic:facebook.com | organic:ccrcca.org | organic:pvlife.org | organic:pvlife.org
195,Palms Middle School,(310) 253-7600,21,serp | knowledge_graph.phone | organic:palmsms.lausd.org | organic:cde.ca.gov | organic:nces.ed.gov | organic:palmsms.lausd.org | organic:schooldirectory.lausd.net | organic:palmsms.lausd.org | organic:moonpreneur.com | organic:cde.ca.gov
261,Peary Middle School,(310) 225-4200,21,serp | knowledge_graph.phone | organic:pearyms.lausd.org | organic:pearyms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:yelp.com | organic:pearyms.lausd.org | organic:ed-data.org | organic:pearyms.lausd.org
108,Penny Lane Centers,(661) 266-4783,9,serp | knowledge_graph.phone | organic:yelp.com | organic:locator.lacounty.gov
109,Q.H. First Baptist Church,(661) 943-3153,17,serp | local_results.phone | organic:mapquest.com | organic:yelp.com | organic:fundamental.org | organic:walkatliberty.com | organic:losangelescounty.businesslistus.com | organic:local.yahoo.com
262,Rancho Dominguez Preparatory School,(310) 847-6400,25,serp | knowledge_graph.phone | organic:dominguezps.lausd.org | organic:cde.ca.gov | organic:yelp.com | organic:schooldirectory.lausd.net | organic:nces.ed.gov | organic:dominguezps.lausd.org | organic:ed-data.org | organic:neighborhoodscout.com | organic:cde.ca.gov | organic:dominguezps.lausd.org
172,RFK/UCLA Community School,(213) 480-3750,17,serp | knowledge_graph.phone | organic:uclacs.org | organic:uclacs.lausd.org | organic:cde.ca.gov | organic:uclacs.lausd.org | organic:ed-data.org | organic:schooldirectory.lausd.net
208,RFK/UCLA Community School,(213) 480-3750,17,serp | knowledge_graph.phone | organic:uclacs.org | organic:uclacs.lausd.org | organic:cde.ca.gov | organic:uclacs.lausd.org | organic:ed-data.org | organic:schooldirectory.lausd.net
126,Romer Middle School,(818) 505-2200,23,serp | knowledge_graph.phone | organic:royromerms.lausd.org | organic:cde.ca.gov | organic:royromerms.lausd.org | organic:schooldirectory.lausd.net | organic:yelp.com | organic:ed-data.org | organic:cde.ca.gov | organic:royromerms.lausd.org | organic:tfdsupplies.com
173,Santee High School,(213) 763-1000,14,serp | organic:santeehs.lausd.org | organic:cde.ca.gov | organic:santeehs.lausd.org | organic:ed-data.org | organic:yelp.com | organic:schooldirectory.lausd.net | organic:santeehs.lausd.org
110,SAVES,(661) 267-5191,19,serp | knowledge_graph.phone | organic:cityofpalmdaleca.gov | organic:ccrcca.org | organic:cityofpalmdaleca.gov | organic:findhelp.org | organic:yelp.com | organic:cityofpalmdaleca.gov | organic:findhelp.org
111,Shekinah,(661) 940-8378,17,serp | knowledge_graph.phone | organic:shekinahworship.com | organic:locator.lacounty.gov | organic:yelp.com | organic:shekinahworship.com | organic:local.yahoo.com | organic:shekinahworship.com
174,Sotomayor Arts/Sciences Magnet,(323) 276-5402,19,serp | knowledge_graph.phone | organic:cde.ca.gov | organic:sotomayor.lausd.org | organic:sotomayor.lausd.org | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:cde.ca.gov | organic:sotomayor.lausd.org
226,South East Senior High School,(323) 568-3400,21,serp | knowledge_graph.phone | organic:southeasths.lausd.org | organic:cde.ca.gov | organic:southeasths.lausd.org | organic:schooldirectory.lausd.net | organic:nces.ed.gov | organic:yelp.com | organic:ed-data.org | organic:southeasths.lausd.org
227,South Gate Senior High School,(323) 568-5600,21,serp | knowledge_graph.phone | organic:southgatehs.lausd.org | organic:southgatehs.lausd.org | organic:cde.ca.gov | organic:yelp.com | organic:southgatehs.lausd.org | organic:schooldirectory.lausd.net | organic:southgatehs.lausd.org | organic:cde.ca.gov
113,St. Vincent De Paul,(661) 942-3222,17,serp | knowledge_graph.phone | organic:svdpolc.org | organic:svdpolc.org | organic:ccrcca.org | organic:1degree.org | organic:yelp.com | organic:findhelp.org
196,University High School Charter,(310) 914-3500,25,serp | knowledge_graph.phone | organic:universityhs.lausd.org | organic:cde.ca.gov | organic:universityhs.lausd.org | organic:nces.ed.gov | organic:universityhs.lausd.org | organic:ed-data.org | organic:universityhs.lausd.org | organic:cde.ca.gov | organic:raise.me | organic:universityhs.lausd.org
167,Virgil Middle School,(213) 368-2800,19,serp | knowledge_graph.phone | organic:virgilms.lausd.org | organic:virgilms.lausd.org | organic:cde.ca.gov | organic:schooldirectory.lausd.net | organic:virgilms.lausd.org | organic:virgilms.lausd.org | organic:cde.ca.gov
264,Washington Preparatory Senior High School,(323) 418-4000,12,serp | organic:washingtonprephs.lausd.org | organic:cde.ca.gov | organic:washingtonprephs.lausd.org | organic:ed-data.org | organic:washingtonprephs.lausd.org | organic:weichert.com
263,White Middle School,(310) 783-4900,19,serp | knowledge_graph.phone | organic:stephenwhitems.lausd.org | organic:cde.ca.gov | organic:yelp.com | organic:stephenwhitems.lausd.org | organic:schooldirectory.lausd.net | organic:ed-data.org | organic:cde.ca.gov
177,Wilson Senior High School,(323) 276-1600,21,serp | knowledge_graph.phone | organic:wilsonhs.lausd.org | organic:cde.ca.gov | organic:wilsonhs.lausd.org | organic:schooldirectory.lausd.net | organic:nces.ed.gov | organic:ed-data.org | organic:yelp.com | organic:cde.ca.gov
20,Central City Neighborhood Partners,(213) 482-8618,23,serp | local_results.phone | organic:laccnp.org | organic:yelp.com | organic:laccnp.org | organic:findhelp.org | organic:laccnp.org | organic:idealist.org | organic:events.ap-od.org | organic:causeiq.com | organic:laccnp.org
280,DomesticShelters.org,(693) 829-9145,7,website
